date,mean,sd,skewness,kurtosis,contrast,dissimilarity,homogeneity,ASM,entropy,energy,lag1_mean,lag2_mean,lag3_mean,lag4_mean
2005-01-01,-12.714494,0.823609,0.7482097761418998,-0.11879807414729093,0.23076923076923078,0.23076923076923078,0.8846153846153846,0.21277623475425672,2.728369548346207,0.4612767442157221,-11.815255,-12.465722,-11.364682,-12.5321
2005-05-01,-11.170305,0.71722585,1.018854927246015,-0.012977421194753092,0.1758241758241758,0.1758241758241758,0.9120879120879121,0.3672865595942519,2.0606241874954323,0.6060417144011226,-12.714494,-11.815255,-12.465722,-11.364682
2005-09-01,-12.563982,0.75363487,0.8796120286919008,-0.00023382815104211474,0.1923076923076923,0.1923076923076923,0.9038461538461537,0.2443394517570342,2.5037088216214625,0.494307041986086,-11.170305,-12.714494,-11.815255,-12.465722
2005-12-01,-11.429366,0.5261084,1.2217793782712545,0.5195026232021092,0.11538461538461539,0.11538461538461539,0.9423076923076923,0.5408012317352977,1.4307224262140923,0.7353918899031303,-12.563982,-11.170305,-12.714494,-11.815255
2006-01-01,-12.129361,0.788616,0.8523850727952809,-0.08570499211964089,0.1978021978021978,0.1978021978021978,0.9010989010989012,0.25425673227871026,2.546123417454547,0.5042387651487242,-11.429366,-12.563982,-11.170305,-12.714494
2006-05-01,-11.326407,0.72155964,1.059592095697942,0.07559833063883081,0.21428571428571427,0.21428571428571427,0.892857142857143,0.3305005434126314,2.347420392407148,0.574891766694072,-12.129361,-11.429366,-12.563982,-11.170305
2006-09-01,-12.263315,0.75777227,0.8626654392283053,-0.032649049552791354,0.18131868131868129,0.18131868131868129,0.9093406593406592,0.29976754015215556,2.399462394123287,0.5475103105441537,-11.326407,-12.129361,-11.429366,-12.563982
2006-12-01,-11.64109,0.62955916,1.1033369253260548,0.31998289037226746,0.1813186813186813,0.1813186813186813,0.9093406593406593,0.2765215553677092,2.317254700337321,0.5258531690193654,-12.263315,-11.326407,-12.129361,-11.429366
2007-01-01,-10.988069,1.1273189,1.4949450604827303,1.6657666894838474,0.28571428571428575,0.2637362637362638,0.8703296703296705,0.22376524574326778,2.96543571551341,0.473038313187492,,,,
2007-05-01,-9.344142,0.7940059,1.9299638968932211,2.9420891887946805,0.1978021978021978,0.1978021978021978,0.9010989010989012,0.4803767660910518,2.005913283342146,0.6930921771965485,-10.988069,,,
2007-09-01,-11.206917,1.0825834,1.400339121411631,1.5868530910644854,0.2582417582417583,0.2362637362637363,0.8840659340659343,0.24596968965100846,2.82431460269316,0.4959533139832906,-9.344142,-10.988069,,
2007-12-01,-10.122376,0.80779046,1.9628634397145486,2.9482494186041057,0.16483516483516483,0.16483516483516483,0.9175824175824177,0.5202270257215312,1.7460890081799212,0.7212676519306347,-11.206917,-9.344142,-10.988069,
2008-01-01,-10.909039,1.0528327,1.641186954865363,1.8974387347563741,0.26373626373626374,0.23076923076923078,0.8879120879120879,0.37714346093466977,2.313630628197986,0.6141200704541986,-10.122376,-11.206917,-9.344142,-10.988069
2008-05-01,-9.438406,0.93530816,1.6603780710886418,1.9452543068220276,0.23076923076923078,0.21978021978021978,0.8912087912087913,0.25566054824296586,2.6470034164957204,0.5056288641315544,-10.909039,-10.122376,-11.206917,-9.344142
2008-09-01,-10.875707,1.1013033,1.6227363666812138,1.8619002910416729,0.30219780219780223,0.25824175824175827,0.8752747252747253,0.32416072938050955,2.489863649489955,0.5693511476940304,-9.438406,-10.909039,-10.122376,-11.206917
2008-12-01,-10.130556,0.91673553,1.812354688654794,2.3739837017036534,0.1978021978021978,0.18681318681318682,0.9076923076923077,0.48956949643762826,1.939472737642075,0.6996924298844659,-10.875707,-9.438406,-10.909039,-10.122376
2009-01-01,-11.086613,1.22183,1.5240909242240477,1.5382916404388869,0.3186813186813187,0.2857142857142857,0.8604395604395604,0.20300990218572637,3.0821159066972523,0.45056620177919066,-10.130556,-10.875707,-9.438406,-10.909039
2009-05-01,-9.776523,1.006125,1.5939522449840349,1.8306749052064424,0.2967032967032967,0.26373626373626374,0.8714285714285716,0.2928541238980799,2.5557082650318343,0.5411599799487024,-11.086613,-10.130556,-10.875707,-9.438406
2009-09-01,-11.071615,1.1769184,1.4658831996103394,1.453780331324424,0.3076923076923077,0.26373626373626374,0.8725274725274725,0.23828643883588937,2.944494076159419,0.48814591961409387,-9.776523,-11.086613,-10.130556,-10.875707
2009-12-01,-9.91814,0.8878442,1.826392582450509,2.426058240665788,0.19780219780219782,0.18681318681318682,0.9076923076923077,0.4157257577587248,2.053030400060422,0.6447679875418171,-11.071615,-9.776523,-11.086613,-10.130556
2010-01-01,-10.875314,1.2202975,1.520615607864659,1.4759688393015553,0.2857142857142857,0.27472527472527475,0.8637362637362637,0.26701183431952663,2.8036288322640077,0.5167318785594002,-9.91814,-11.071615,-9.776523,-11.086613
2010-05-01,-8.78635,0.88177615,1.7721228703489296,2.2478672971368576,0.18681318681318682,0.18681318681318682,0.9065934065934067,0.3609467455621302,2.1533724813446553,0.6007884366082042,-10.875314,-9.91814,-11.071615,-9.776523
2010-09-01,-10.906153,1.1487558,1.5253412167271152,1.5885911734928637,0.2967032967032967,0.27472527472527475,0.864835164835165,0.29504286921869344,2.726029995986106,0.5431784874410007,-8.78635,-10.875314,-9.91814,-11.071615
2010-12-01,-9.126716,0.7814642,1.9098647474274975,2.6183783713073856,0.16483516483516483,0.16483516483516483,0.9175824175824177,0.512981523970535,1.7668007873458906,0.7162272851340802,-10.906153,-8.78635,-10.875314,-9.91814
2011-01-01,-10.673157,1.1813421,1.496852628083852,1.412766244199851,0.30769230769230765,0.2967032967032967,0.8527472527472527,0.24032423620335705,2.79049901143015,0.4902287590537269,-9.126716,-10.906153,-8.78635,-10.875314
2011-05-01,-9.200077,0.9569325,1.6647467456286,1.9845644648224914,0.21978021978021978,0.21978021978021978,0.8901098901098902,0.3623958459123295,2.404316864489602,0.6019932274638391,-10.673157,-9.126716,-10.906153,-8.78635
2011-09-01,-10.465599,1.0704614,1.6419496449297022,1.8235463322164875,0.2582417582417582,0.24725274725274723,0.8774725274725275,0.22207462866803526,2.803612332282174,0.47124794818443005,-9.200077,-10.673157,-9.126716,-10.906153
2011-12-01,-10.217404,1.0822453,1.5267757199137153,1.5814335866375044,0.2912087912087913,0.2802197802197803,0.8609890109890111,0.25335104455983587,2.822928296378224,0.5033398896966501,-10.465599,-9.200077,-10.673157,-9.126716
2012-01-01,-10.90649,1.3386346,1.4587723978757157,1.2167651305551255,0.3846153846153847,0.3626373626373627,0.8208791208791208,0.170269291148412,3.2980184871098137,0.4126369968245843,-10.217404,-10.465599,-9.200077,-10.673157
2012-05-01,-9.01011,0.8893505,1.7948861029696421,2.3171445842897187,0.19780219780219782,0.18681318681318682,0.9076923076923078,0.47121422533510454,1.905062359714843,0.6864504536637036,-10.90649,-10.217404,-10.465599,-9.200077
2012-09-01,-11.035453,1.2897018,1.421416277114609,1.2195066125780336,0.32417582417582413,0.3021978021978022,0.8510989010989011,0.1742996014974037,3.2053754600365845,0.4174920376455145,-9.01011,-10.90649,-10.217404,-10.465599
